claim_id,timestamp,total_amount,fraud_risk,processing_time,status,vehicle_type,damage_severity,parts_affected,recommendation
CLM00000,2024-02-15 23:17:13.384737,4121.57605890731,7.245054054240034,0.6321727906181102,approved,Sedan,Moderate,"['Door Front Left', 'Rear Bumper']",reject
CLM00001,2024-02-16 23:17:13.384737,4560.093067661268,5.627301542007414,1.2934840922171145,approved,Truck,Minor,['Fender Right'],reject
CLM00002,2024-02-17 23:17:13.384737,7953.678854121003,22.230568342840513,0.9481277715185923,approved,Sedan,Moderate,['Headlight Right'],approve
CLM00003,2024-02-18 23:17:13.384737,4588.637122586729,27.886310393813176,4.300000223598025,approved,SUV,Minor,"['Door Front Right', 'Front Bumper', 'Headlight Left']",approve
CLM00004,2024-02-19 23:17:13.384737,4803.17592664209,11.720521276766044,1.3524662879476768,approved,Sedan,Minor,['Front Bumper'],reject
CLM00005,2024-02-20 23:17:13.384737,5227.820020121652,20.11180826691166,3.756023416474305,approved,Sedan,Moderate,"['Headlight Left', 'Windshield', 'Hood']",approve
CLM00006,2024-02-21 23:17:13.384737,3640.6861859873407,15.574471106946925,5.4924457835787175,pending,Sedan,Critical,['Hood'],review
CLM00007,2024-02-22 23:17:13.384737,7189.267973550412,17.96429178524522,1.3198412762675884,approved,Truck,Moderate,"['Headlight Right', 'Front Bumper', 'Hood']",approve
CLM00008,2024-02-23 23:17:13.384737,4945.846438254251,5.015137212235702,3.7334316801371537,rejected,Truck,Minor,"['Hood', 'Rear Bumper']",approve
CLM00009,2024-02-24 23:17:13.384737,1523.8723784035303,17.309368156759913,1.098304252035155,approved,Sedan,Moderate,"['Door Front Left', 'Door Front Right', 'Headlight Right']",approve
CLM00010,2024-02-25 23:17:13.384737,4736.79473330919,26.23319636903471,6.84190909307837,pending,Sedan,Minor,"['Front Bumper', 'Fender Right', 'Windshield']",approve
CLM00011,2024-02-26 23:17:13.384737,5940.259031225607,9.76879050396232,3.387007508440335,approved,Sedan,Minor,"['Fender Left', 'Door Front Right']",approve
CLM00012,2024-02-27 23:17:13.384737,3133.5077995873635,5.155908594804376,2.2887005037235184,rejected,SUV,Severe,"['Hood', 'Windshield', 'Front Bumper']",approve
CLM00013,2024-02-28 23:17:13.384737,3046.4425173445175,8.200607845781208,3.2211833712490687,rejected,SUV,Moderate,"['Hood', 'Headlight Left', 'Rear Bumper']",approve
CLM00014,2024-02-29 23:17:13.384737,2208.7302231859503,22.521485916246554,2.280728010900603,approved,Truck,Minor,"['Headlight Right', 'Hood', 'Headlight Left']",review
CLM00015,2024-03-01 23:17:13.384737,4165.266679197414,11.74838248449023,1.5268964977335029,approved,Truck,Minor,"['Fender Left', 'Windshield']",approve
CLM00016,2024-03-02 23:17:13.384737,2872.0070898470867,16.459101075570057,11.518368974300762,pending,Sedan,Minor,"['Windshield', 'Hood']",review
CLM00017,2024-03-03 23:17:13.384737,5752.210616147472,7.734282191900024,2.745927544279238,approved,Truck,Moderate,['Fender Left'],review
CLM00018,2024-03-04 23:17:13.384737,3675.312888642108,24.00232194121701,2.982202807804203,approved,Sedan,Minor,['Fender Right'],approve
CLM00019,2024-03-05 23:17:13.384737,4860.462673245559,19.637717126108956,1.8565065690700193,approved,Truck,Minor,"['Hood', 'Windshield']",reject
CLM00020,2024-03-06 23:17:13.384737,6126.920189308425,20.905897213027064,0.43061533907374355,approved,SUV,Critical,"['Fender Right', 'Door Front Right']",approve
CLM00021,2024-03-07 23:17:13.384737,6511.165942315507,23.892189635819022,1.9850458385448038,rejected,Van,Moderate,"['Fender Left', 'Hood', 'Headlight Left']",approve
CLM00022,2024-03-08 23:17:13.384737,5376.095678656324,12.156161837646543,4.557231176365889,approved,Sedan,Minor,"['Hood', 'Hood', 'Door Front Right']",review
